LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MI: BAY CITY,01/01/2021 00:15:00,,1750.00,1051.00,310.00,148.00,96.00,122.00,60.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 01:16:00,,1749.00,1061.00,309.00,150.00,96.00,119.00,60.00,34.00,APPROVED
MI: BAY CITY,01/01/2021 02:16:00,,1769.00,1059.00,309.00,152.00,98.00,120.00,60.00,33.00,APPROVED
MI: BAY CITY,01/01/2021 03:16:00,,1780.00,1072.00,313.00,149.00,97.00,117.00,58.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 04:16:00,,1793.00,1080.00,315.00,151.00,97.00,122.00,58.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 05:17:00,,1799.00,1080.00,318.00,154.00,100.00,125.00,59.00,34.00,APPROVED
MI: BAY CITY,01/01/2021 06:17:00,,1811.00,1087.00,322.00,155.00,96.00,127.00,60.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 07:17:00,,1831.00,1115.00,331.00,157.00,100.00,130.00,59.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 08:17:00,,1861.00,1153.00,343.00,166.00,104.00,138.00,62.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 09:18:00,,1867.00,1166.00,346.00,171.00,106.00,138.00,64.00,37.00,APPROVED
MI: BAY CITY,01/01/2021 10:18:00,,1857.00,1162.00,352.00,169.00,106.00,140.00,64.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 11:18:00,,1864.00,1162.00,345.00,168.00,104.00,137.00,62.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 12:18:00,,1850.00,1155.00,342.00,163.00,104.00,138.00,60.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 13:19:00,,1871.00,1161.00,348.00,166.00,106.00,135.00,63.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 14:19:00,,1861.00,1145.00,335.00,165.00,106.00,135.00,60.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 15:19:00,,1853.00,1144.00,335.00,163.00,102.00,134.00,63.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 16:19:00,,1851.00,1154.00,338.00,169.00,107.00,133.00,66.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 17:20:00,,1842.00,1145.00,340.00,164.00,105.00,133.00,65.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 18:20:00,,1846.00,1144.00,338.00,167.00,105.00,131.00,67.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 19:20:00,,1836.00,1136.00,338.00,166.00,107.00,131.00,64.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 20:20:00,,1825.00,1144.00,334.00,166.00,104.00,131.00,66.00,36.00,APPROVED
MI: BAY CITY,01/01/2021 21:21:00,,1845.00,1147.00,340.00,170.00,104.00,136.00,67.00,35.00,APPROVED
MI: BAY CITY,01/01/2021 22:21:00,,1877.00,1179.00,352.00,175.00,106.00,136.00,67.00,37.00,APPROVED
MI: BAY CITY,01/01/2021 23:21:00,,1871.00,1158.00,340.00,169.00,105.00,132.00,66.00,37.00,APPROVED
MI: BAY CITY,01/02/2021 00:21:00,,1900.00,1173.00,351.00,169.00,106.00,137.00,63.00,36.00,APPROVED
MI: BAY CITY,01/02/2021 01:22:00,,1950.00,1227.00,362.00,176.00,109.00,142.00,66.00,36.00,APPROVED
MI: BAY CITY,01/02/2021 02:22:00,,1907.00,1190.00,354.00,174.00,106.00,139.00,64.00,36.00,APPROVED
MI: BAY CITY,01/02/2021 03:22:00,,1914.00,1194.00,355.00,170.00,106.00,137.00,66.00,36.00,APPROVED
MI: BAY CITY,01/02/2021 04:22:00,,2009.00,1276.00,377.00,181.00,113.00,143.00,71.00,37.00,APPROVED
MI: BAY CITY,01/02/2021 05:22:00,,2135.00,1374.00,405.00,195.00,120.00,157.00,74.00,37.00,APPROVED
MI: BAY CITY,01/02/2021 06:23:00,,2189.00,1423.00,423.00,206.00,123.00,163.00,78.00,40.00,APPROVED
MI: BAY CITY,01/02/2021 07:23:00,,2097.00,1333.00,396.00,201.00,115.00,155.00,74.00,37.00,APPROVED
MI: BAY CITY,01/02/2021 08:23:00,,1935.00,1201.00,364.00,177.00,110.00,140.00,69.00,37.00,APPROVED
MI: BAY CITY,01/02/2021 09:23:00,,1770.00,1083.00,324.00,159.00,100.00,124.00,64.00,35.00,APPROVED
MI: BAY CITY,01/02/2021 10:24:00,,1719.00,1029.00,306.00,150.00,94.00,120.00,58.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 11:24:00,,1710.00,1012.00,300.00,145.00,94.00,118.00,55.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 12:24:00,,1693.00,1011.00,300.00,144.00,97.00,118.00,58.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 13:24:00,,1697.00,1017.00,297.00,150.00,95.00,114.00,61.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 14:25:00,,1695.00,1022.00,302.00,150.00,97.00,118.00,60.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 15:25:00,,1696.00,1013.00,298.00,150.00,91.00,115.00,59.00,34.00,APPROVED
MI: BAY CITY,01/02/2021 16:25:00,,1684.00,1025.00,297.00,149.00,92.00,114.00,61.00,34.00,APPROVED
MI: BAY CITY,01/02/2021 17:25:00,,1672.00,1007.00,300.00,150.00,96.00,115.00,62.00,35.00,APPROVED
MI: BAY CITY,01/02/2021 18:26:00,,1653.00,1003.00,299.00,150.00,93.00,117.00,62.00,34.00,APPROVED
MI: BAY CITY,01/02/2021 19:26:00,,1629.00,991.00,299.00,148.00,92.00,112.00,61.00,32.00,APPROVED
MI: BAY CITY,01/02/2021 20:26:00,,1624.00,988.00,293.00,143.00,90.00,112.00,62.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 21:26:00,,1626.00,971.00,292.00,142.00,91.00,112.00,58.00,32.00,APPROVED
MI: BAY CITY,01/02/2021 22:27:00,,1643.00,977.00,290.00,146.00,93.00,108.00,60.00,33.00,APPROVED
MI: BAY CITY,01/02/2021 23:27:00,,1649.00,983.00,294.00,141.00,89.00,111.00,59.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 00:27:00,,1661.00,988.00,293.00,143.00,93.00,112.00,60.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 01:27:00,,1674.00,1001.00,298.00,144.00,91.00,114.00,60.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 02:28:00,,1661.00,1001.00,298.00,143.00,92.00,115.00,58.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 03:28:00,,1657.00,996.00,294.00,141.00,91.00,114.00,58.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 04:28:00,,1670.00,987.00,295.00,141.00,91.00,113.00,58.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 05:28:00,,1671.00,989.00,297.00,140.00,91.00,114.00,57.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 06:29:00,,1674.00,1003.00,298.00,143.00,92.00,112.00,60.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 07:29:00,,1672.00,1003.00,294.00,145.00,92.00,116.00,60.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 08:29:00,,1681.00,1004.00,300.00,147.00,93.00,114.00,58.00,35.00,APPROVED
MI: BAY CITY,01/03/2021 09:29:00,,1676.00,1004.00,297.00,143.00,93.00,116.00,58.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 10:30:00,,1672.00,997.00,295.00,143.00,92.00,114.00,59.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 11:30:00,,1665.00,996.00,295.00,141.00,92.00,113.00,57.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 12:30:00,,1662.00,989.00,294.00,144.00,91.00,113.00,57.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 13:30:00,,1671.00,994.00,294.00,144.00,93.00,116.00,56.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 14:31:00,,1673.00,1003.00,293.00,145.00,93.00,116.00,58.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 15:31:00,,1691.00,1015.00,302.00,149.00,95.00,119.00,60.00,35.00,APPROVED
MI: BAY CITY,01/03/2021 16:31:00,,1689.00,1030.00,301.00,150.00,94.00,117.00,62.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 17:31:00,,1683.00,1023.00,303.00,152.00,97.00,120.00,61.00,34.00,APPROVED
MI: BAY CITY,01/03/2021 18:32:00,,1658.00,1008.00,303.00,151.00,96.00,118.00,62.00,35.00,APPROVED
MI: BAY CITY,01/03/2021 19:32:00,,1656.00,1007.00,299.00,149.00,95.00,119.00,62.00,35.00,APPROVED
MI: BAY CITY,01/03/2021 20:32:00,,1674.00,1022.00,302.00,149.00,96.00,118.00,61.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 21:32:00,,1668.00,1016.00,299.00,150.00,93.00,117.00,62.00,35.00,APPROVED
MI: BAY CITY,01/03/2021 22:33:00,,1669.00,1017.00,300.00,148.00,94.00,114.00,59.00,33.00,APPROVED
MI: BAY CITY,01/03/2021 23:33:00,,1665.00,1013.00,294.00,151.00,94.00,110.00,60.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 00:33:00,,1672.00,1009.00,294.00,148.00,94.00,115.00,61.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 01:33:00,,1674.00,1013.00,298.00,147.00,92.00,113.00,59.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 02:34:00,,1694.00,1020.00,300.00,148.00,95.00,114.00,61.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 03:34:00,,1688.00,1013.00,297.00,146.00,92.00,113.00,61.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 04:34:00,,1690.00,1012.00,298.00,146.00,94.00,113.00,58.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 05:34:00,,1692.00,1015.00,299.00,146.00,94.00,115.00,59.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 06:35:00,,1679.00,997.00,293.00,142.00,93.00,112.00,59.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 07:35:00,,1683.00,999.00,297.00,144.00,92.00,113.00,58.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 08:35:00,,1679.00,994.00,295.00,145.00,93.00,112.00,59.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 09:35:00,,1671.00,1008.00,296.00,147.00,92.00,113.00,60.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 10:36:00,,1695.00,1013.00,301.00,147.00,95.00,113.00,61.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 11:36:00,,1682.00,1014.00,305.00,147.00,93.00,117.00,61.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 12:12:00,,1685.00,1011.00,302.00,150.00,93.00,117.00,61.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 13:18:00,,1679.00,997.00,295.00,139.00,91.00,113.00,59.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 14:19:00,,1682.00,1014.00,300.00,146.00,91.00,114.00,60.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 15:19:00,,1685.00,1019.00,299.00,150.00,94.00,115.00,62.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 16:19:00,,1691.00,1026.00,298.00,151.00,96.00,117.00,61.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 17:19:00,,1686.00,1025.00,301.00,151.00,96.00,115.00,62.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 18:20:00,,1679.00,1018.00,301.00,148.00,96.00,118.00,62.00,33.00,APPROVED
MI: BAY CITY,01/04/2021 19:20:00,,1687.00,1031.00,301.00,150.00,96.00,118.00,62.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 20:20:00,,1680.00,1029.00,301.00,152.00,93.00,116.00,61.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 21:20:00,,1702.00,1037.00,306.00,151.00,96.00,115.00,61.00,34.00,APPROVED
MI: BAY CITY,01/04/2021 22:21:00,,1712.00,1043.00,309.00,155.00,96.00,119.00,62.00,35.00,APPROVED
MI: BAY CITY,01/04/2021 23:21:00,,1735.00,1061.00,310.00,156.00,97.00,121.00,64.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 00:21:00,,1735.00,1070.00,317.00,159.00,98.00,124.00,62.00,34.00,APPROVED
MI: BAY CITY,01/05/2021 01:21:00,,1749.00,1079.00,320.00,161.00,100.00,126.00,64.00,34.00,APPROVED
MI: BAY CITY,01/05/2021 02:22:00,,1761.00,1084.00,322.00,162.00,103.00,126.00,64.00,34.00,APPROVED
MI: BAY CITY,01/05/2021 03:22:00,,1773.00,1094.00,328.00,165.00,102.00,128.00,64.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 04:22:00,,1757.00,1092.00,325.00,163.00,103.00,129.00,65.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 05:22:00,,1747.00,1080.00,323.00,163.00,100.00,127.00,63.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 06:23:00,,1749.00,1095.00,320.00,163.00,102.00,130.00,66.00,34.00,APPROVED
MI: BAY CITY,01/05/2021 07:23:00,,1768.00,1105.00,326.00,164.00,102.00,131.00,65.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 08:23:00,,1783.00,1106.00,329.00,170.00,105.00,131.00,65.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 09:23:00,,1791.00,1134.00,337.00,170.00,102.00,131.00,67.00,37.00,APPROVED
MI: BAY CITY,01/05/2021 10:24:00,,1803.00,1143.00,338.00,170.00,105.00,136.00,66.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 11:24:00,,1822.00,1158.00,345.00,173.00,108.00,135.00,69.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 12:24:00,,1822.00,1152.00,348.00,180.00,108.00,141.00,69.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 13:24:00,,1811.00,1148.00,344.00,176.00,108.00,136.00,69.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 14:24:00,,1801.00,1151.00,338.00,177.00,105.00,133.00,71.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 15:25:00,,1804.00,1154.00,344.00,180.00,108.00,136.00,70.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 16:25:00,,1786.00,1148.00,340.00,179.00,105.00,133.00,69.00,36.00,APPROVED
MI: BAY CITY,01/05/2021 17:25:00,,1799.00,1150.00,342.00,180.00,108.00,136.00,71.00,35.00,APPROVED
MI: BAY CITY,01/05/2021 18:25:00,,1873.00,1207.00,363.00,189.00,111.00,145.00,75.00,37.00,APPROVED
MI: BAY CITY,01/05/2021 19:26:00,,1873.00,1221.00,360.00,190.00,112.00,145.00,74.00,37.00,APPROVED
MI: BAY CITY,01/05/2021 20:26:00,,1881.00,1241.00,369.00,194.00,113.00,148.00,78.00,39.00,APPROVED
MI: BAY CITY,01/05/2021 21:26:00,,1928.00,1264.00,375.00,200.00,119.00,151.00,79.00,39.00,APPROVED
MI: BAY CITY,01/05/2021 22:27:00,,1943.00,1283.00,373.00,201.00,115.00,154.00,80.00,37.00,APPROVED
MI: BAY CITY,01/05/2021 23:27:00,,1960.00,1271.00,374.00,199.00,116.00,149.00,77.00,38.00,APPROVED
MI: BAY CITY,01/06/2021 00:27:00,,1944.00,1275.00,377.00,202.00,117.00,147.00,78.00,39.00,APPROVED
MI: BAY CITY,01/06/2021 01:27:00,,1962.00,1291.00,374.00,201.00,115.00,148.00,77.00,38.00,APPROVED
MI: BAY CITY,01/06/2021 02:28:00,,2021.00,1329.00,390.00,209.00,121.00,159.00,82.00,38.00,APPROVED
MI: BAY CITY,01/06/2021 03:28:00,,2120.00,1422.00,416.00,228.00,128.00,167.00,85.00,40.00,APPROVED
MI: BAY CITY,01/06/2021 04:28:00,,2041.00,1354.00,396.00,212.00,123.00,160.00,81.00,39.00,APPROVED
MI: BAY CITY,01/06/2021 05:28:00,,1946.00,1281.00,375.00,198.00,115.00,148.00,77.00,38.00,APPROVED
MI: BAY CITY,01/06/2021 06:28:00,,1903.00,1238.00,357.00,190.00,112.00,144.00,72.00,37.00,APPROVED
MI: BAY CITY,01/06/2021 07:29:00,,1867.00,1192.00,348.00,188.00,111.00,142.00,72.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 08:29:00,,1854.00,1187.00,351.00,183.00,109.00,139.00,72.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 09:29:00,,1863.00,1195.00,360.00,184.00,112.00,139.00,71.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 10:29:00,,1842.00,1170.00,343.00,177.00,108.00,133.00,71.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 11:30:00,,1815.00,1150.00,337.00,173.00,106.00,134.00,71.00,37.00,APPROVED
MI: BAY CITY,01/06/2021 12:30:00,,1807.00,1136.00,338.00,169.00,108.00,133.00,65.00,37.00,APPROVED
MI: BAY CITY,01/06/2021 13:30:00,,1804.00,1127.00,337.00,171.00,106.00,132.00,66.00,37.00,APPROVED
MI: BAY CITY,01/06/2021 14:30:00,,1810.00,1129.00,332.00,170.00,103.00,131.00,66.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 15:31:00,,1808.00,1135.00,339.00,171.00,102.00,129.00,67.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 16:31:00,,1799.00,1130.00,332.00,169.00,105.00,130.00,69.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 17:31:00,,1790.00,1112.00,331.00,168.00,104.00,126.00,67.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 18:31:00,,1769.00,1101.00,325.00,164.00,103.00,125.00,67.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 19:32:00,,1759.00,1086.00,321.00,163.00,99.00,122.00,66.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 20:33:00,,1756.00,1091.00,320.00,163.00,101.00,124.00,65.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 21:33:00,,1755.00,1084.00,323.00,163.00,100.00,126.00,66.00,35.00,APPROVED
MI: BAY CITY,01/06/2021 22:33:00,,1753.00,1086.00,319.00,163.00,103.00,124.00,67.00,36.00,APPROVED
MI: BAY CITY,01/06/2021 23:34:00,,1757.00,1096.00,327.00,165.00,100.00,126.00,68.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 00:34:00,,1764.00,1089.00,323.00,165.00,99.00,127.00,65.00,33.00,APPROVED
MI: BAY CITY,01/07/2021 01:34:00,,1853.00,1164.00,345.00,174.00,104.00,134.00,67.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 02:34:00,,1815.00,1118.00,333.00,163.00,102.00,129.00,65.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 03:35:00,,1778.00,1083.00,320.00,157.00,100.00,125.00,62.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 04:35:00,,1758.00,1076.00,318.00,152.00,99.00,123.00,62.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 05:35:00,,1755.00,1079.00,315.00,155.00,99.00,123.00,62.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 06:35:00,,1769.00,1094.00,321.00,161.00,103.00,129.00,63.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 07:36:00,,1792.00,1102.00,326.00,161.00,101.00,126.00,65.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 08:36:00,,1797.00,1115.00,332.00,161.00,101.00,128.00,64.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 09:36:00,,1808.00,1122.00,331.00,164.00,101.00,128.00,63.00,33.00,APPROVED
MI: BAY CITY,01/07/2021 10:36:00,,1785.00,1107.00,326.00,162.00,103.00,129.00,63.00,37.00,APPROVED
MI: BAY CITY,01/07/2021 11:37:00,,1766.00,1084.00,317.00,155.00,98.00,124.00,61.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 12:37:00,,1781.00,1087.00,322.00,157.00,101.00,127.00,60.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 13:37:00,,1787.00,1090.00,322.00,158.00,101.00,125.00,63.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 14:37:00,,1772.00,1085.00,321.00,156.00,99.00,126.00,62.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 15:38:00,,1782.00,1090.00,321.00,159.00,101.00,122.00,62.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 16:38:00,,1775.00,1087.00,326.00,160.00,101.00,125.00,64.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 17:38:00,,1758.00,1088.00,320.00,163.00,104.00,127.00,62.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 18:38:00,,1766.00,1094.00,324.00,162.00,99.00,129.00,62.00,35.00,APPROVED
MI: BAY CITY,01/07/2021 19:38:00,,1750.00,1092.00,322.00,162.00,101.00,125.00,65.00,33.00,APPROVED
MI: BAY CITY,01/07/2021 20:39:00,,1721.00,1070.00,316.00,157.00,101.00,122.00,65.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 21:39:00,,1713.00,1046.00,312.00,153.00,97.00,122.00,61.00,36.00,APPROVED
MI: BAY CITY,01/07/2021 22:39:00,,1720.00,1037.00,312.00,151.00,98.00,121.00,60.00,34.00,APPROVED
MI: BAY CITY,01/07/2021 23:39:00,,1722.00,1042.00,310.00,150.00,96.00,121.00,61.00,33.00,APPROVED
MI: BAY CITY,01/08/2021 00:40:00,,1741.00,1053.00,313.00,148.00,98.00,120.00,59.00,33.00,APPROVED
MI: BAY CITY,01/08/2021 01:40:00,,1759.00,1056.00,307.00,151.00,98.00,120.00,58.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 02:40:00,,1759.00,1057.00,310.00,152.00,98.00,121.00,60.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 03:40:00,,1760.00,1062.00,314.00,152.00,98.00,122.00,59.00,36.00,APPROVED
MI: BAY CITY,01/08/2021 04:41:00,,1766.00,1066.00,311.00,149.00,96.00,121.00,56.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 05:41:00,,1770.00,1050.00,311.00,149.00,98.00,123.00,57.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 06:41:00,,1765.00,1064.00,310.00,149.00,94.00,120.00,59.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 07:41:00,,1767.00,1064.00,319.00,149.00,100.00,123.00,60.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 08:42:00,,1784.00,1082.00,317.00,153.00,98.00,123.00,58.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 09:42:00,,1778.00,1082.00,318.00,152.00,96.00,125.00,60.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 10:42:00,,1779.00,1082.00,316.00,153.00,100.00,123.00,62.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 11:42:00,,1784.00,1086.00,318.00,151.00,99.00,126.00,59.00,33.00,APPROVED
MI: BAY CITY,01/08/2021 12:43:00,,1766.00,1068.00,317.00,149.00,96.00,124.00,59.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 13:43:00,,1750.00,1052.00,312.00,144.00,97.00,121.00,56.00,33.00,APPROVED
MI: BAY CITY,01/08/2021 14:43:00,,1761.00,1049.00,310.00,146.00,96.00,120.00,55.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 15:43:00,,1753.00,1046.00,311.00,146.00,95.00,119.00,55.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 17:44:00,,1756.00,1045.00,308.00,146.00,96.00,122.00,55.00,35.00,APPROVED
MI: BAY CITY,01/08/2021 18:44:00,,1753.00,1047.00,311.00,148.00,95.00,122.00,54.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 19:44:00,,1737.00,1034.00,308.00,146.00,96.00,121.00,57.00,33.00,APPROVED
MI: BAY CITY,01/08/2021 20:45:00,,1732.00,1031.00,305.00,141.00,95.00,118.00,54.00,34.00,APPROVED
MI: BAY CITY,01/08/2021 21:45:00,,1734.00,1036.00,303.00,142.00,94.00,117.00,55.00,34.00,APPROVED
MI: BAY CITY,01/26/2021 16:53:00,,1909.00,1147.00,339.00,161.00,103.00,134.00,61.00,33.00,APPROVED
MI: BAY CITY,01/26/2021 17:54:00,,1863.00,1120.00,334.00,156.00,102.00,131.00,60.00,33.00,APPROVED
MI: BAY CITY,01/26/2021 18:54:00,,1867.00,1127.00,337.00,158.00,101.00,134.00,58.00,36.00,APPROVED
MI: BAY CITY,01/26/2021 19:54:00,,1872.00,1132.00,344.00,157.00,102.00,132.00,59.00,36.00,APPROVED
MI: BAY CITY,01/26/2021 20:54:00,,1857.00,1126.00,340.00,157.00,102.00,129.00,60.00,36.00,APPROVED
MI: BAY CITY,01/26/2021 21:54:00,,1815.00,1090.00,331.00,154.00,97.00,130.00,58.00,35.00,APPROVED
MI: BAY CITY,01/26/2021 22:55:00,,1783.00,1067.00,321.00,147.00,98.00,124.00,56.00,34.00,APPROVED
MI: BAY CITY,01/26/2021 23:55:00,,1765.00,1046.00,309.00,145.00,95.00,125.00,53.00,35.00,APPROVED
MI: BAY CITY,01/27/2021 00:55:00,,1742.00,1035.00,311.00,142.00,96.00,123.00,53.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 01:55:00,,1732.00,1019.00,307.00,142.00,93.00,119.00,52.00,35.00,APPROVED
MI: BAY CITY,01/27/2021 02:55:00,,1759.00,1024.00,310.00,144.00,96.00,119.00,52.00,34.00,APPROVED
MI: BAY CITY,01/27/2021 03:56:00,,1745.00,1032.00,307.00,141.00,94.00,119.00,52.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 04:56:00,,1734.00,1021.00,311.00,143.00,93.00,120.00,52.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 05:56:00,,1743.00,1019.00,303.00,140.00,92.00,119.00,53.00,35.00,APPROVED
MI: BAY CITY,01/27/2021 06:56:00,,1740.00,1023.00,303.00,140.00,97.00,119.00,52.00,32.00,APPROVED
MI: BAY CITY,01/27/2021 07:56:00,,1737.00,1022.00,303.00,141.00,95.00,119.00,51.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 08:57:00,,1734.00,1016.00,305.00,141.00,94.00,120.00,51.00,32.00,APPROVED
MI: BAY CITY,01/27/2021 09:57:00,,1727.00,1020.00,303.00,143.00,94.00,120.00,52.00,34.00,APPROVED
MI: BAY CITY,01/27/2021 10:57:00,,1724.00,1013.00,303.00,141.00,92.00,119.00,54.00,34.00,APPROVED
MI: BAY CITY,01/27/2021 11:57:00,,1727.00,1023.00,303.00,144.00,94.00,120.00,51.00,35.00,APPROVED
MI: BAY CITY,01/27/2021 12:57:00,,1738.00,1012.00,307.00,138.00,93.00,124.00,51.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 13:58:00,,1723.00,998.00,297.00,140.00,92.00,119.00,51.00,32.00,APPROVED
MI: BAY CITY,01/27/2021 14:58:00,,1705.00,999.00,297.00,138.00,92.00,117.00,51.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 15:58:00,,1699.00,997.00,300.00,138.00,89.00,116.00,52.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 16:58:00,,1689.00,998.00,300.00,139.00,92.00,117.00,54.00,33.00,APPROVED
MI: BAY CITY,01/27/2021 17:59:00,,1685.00,992.00,298.00,139.00,93.00,115.00,53.00,34.00,APPROVED
