LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SACRAMENTO,12/12/2008 22:25:00,,2308.00,1056.00,297.00,164.00,87.00,111.00,72.00,34.00,APPROVED
CA: SACRAMENTO,12/12/2008 23:25:00,,2444.00,1251.00,358.00,218.00,107.00,148.00,85.00,39.00,APPROVED
CA: SACRAMENTO,12/13/2008 00:25:00,,2530.00,1311.00,383.00,243.00,112.00,159.00,94.00,41.00,APPROVED
CA: SACRAMENTO,12/13/2008 01:26:00,,2513.00,1286.00,373.00,236.00,110.00,157.00,91.00,39.00,APPROVED
CA: SACRAMENTO,12/13/2008 02:26:00,,2308.00,1140.00,338.00,203.00,98.00,140.00,81.00,36.00,APPROVED
CA: SACRAMENTO,12/13/2008 03:26:00,,2100.00,953.00,278.00,162.00,82.00,109.00,68.00,35.00,APPROVED
CA: SACRAMENTO,12/13/2008 04:26:00,,2052.00,879.00,257.00,140.00,75.00,97.00,60.00,31.00,APPROVED
CA: SACRAMENTO,12/13/2008 05:26:00,,1928.00,812.00,234.00,126.00,69.00,85.00,56.00,29.00,APPROVED
CA: SACRAMENTO,12/13/2008 06:27:00,,1888.00,764.00,223.00,116.00,66.00,81.00,54.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 07:27:00,,1838.00,729.00,211.00,108.00,62.00,77.00,50.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 08:27:00,,1800.00,698.00,201.00,101.00,60.00,76.00,48.00,29.00,APPROVED
CA: SACRAMENTO,12/13/2008 09:27:00,,1761.00,666.00,192.00,96.00,57.00,71.00,48.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 10:27:00,,1766.00,672.00,192.00,94.00,57.00,69.00,45.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 11:27:00,,1769.00,669.00,193.00,97.00,58.00,72.00,45.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 12:28:00,,1783.00,676.00,192.00,97.00,59.00,71.00,47.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 13:28:00,,1789.00,684.00,196.00,97.00,60.00,71.00,49.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 14:28:00,,1796.00,677.00,197.00,98.00,59.00,71.00,46.00,26.00,APPROVED
CA: SACRAMENTO,12/13/2008 15:28:00,,1808.00,687.00,200.00,96.00,57.00,72.00,45.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 16:28:00,,1819.00,686.00,200.00,96.00,59.00,72.00,45.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 17:29:00,,1802.00,678.00,199.00,97.00,58.00,72.00,46.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 18:29:00,,1740.00,677.00,197.00,99.00,59.00,71.00,49.00,26.00,APPROVED
CA: SACRAMENTO,12/13/2008 19:29:00,,1698.00,665.00,197.00,101.00,60.00,74.00,49.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 20:29:00,,1654.00,651.00,193.00,100.00,59.00,71.00,49.00,27.00,APPROVED
CA: SACRAMENTO,12/13/2008 21:29:00,,1652.00,645.00,189.00,97.00,60.00,69.00,46.00,28.00,APPROVED
CA: SACRAMENTO,12/13/2008 22:30:00,,1656.00,636.00,189.00,96.00,58.00,67.00,48.00,26.00,APPROVED
CA: SACRAMENTO,12/13/2008 23:30:00,,1685.00,647.00,189.00,94.00,58.00,68.00,47.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 00:30:00,,1689.00,628.00,187.00,94.00,58.00,65.00,45.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 01:30:00,,1735.00,644.00,186.00,91.00,58.00,69.00,47.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 02:30:00,,1778.00,657.00,187.00,93.00,57.00,67.00,46.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 03:31:00,,1837.00,676.00,192.00,96.00,55.00,72.00,45.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 04:31:00,,1859.00,680.00,194.00,95.00,60.00,73.00,43.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 05:31:00,,1878.00,688.00,200.00,95.00,58.00,77.00,42.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 06:31:00,,1899.00,698.00,198.00,97.00,59.00,77.00,40.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 07:31:00,,1899.00,700.00,201.00,99.00,58.00,76.00,40.00,26.00,APPROVED
CA: SACRAMENTO,12/14/2008 08:32:00,,1918.00,703.00,203.00,96.00,59.00,78.00,41.00,27.00,APPROVED
CA: SACRAMENTO,12/14/2008 09:32:00,,1946.00,725.00,211.00,100.00,62.00,80.00,40.00,27.00,APPROVED
CA: SACRAMENTO,12/14/2008 10:32:00,,1986.00,756.00,222.00,103.00,62.00,86.00,41.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 11:32:00,,1964.00,748.00,220.00,105.00,64.00,85.00,41.00,27.00,APPROVED
CA: SACRAMENTO,12/14/2008 12:32:00,,1983.00,748.00,222.00,102.00,63.00,86.00,39.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 13:33:00,,1994.00,761.00,223.00,106.00,62.00,88.00,41.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 14:33:00,,1987.00,761.00,223.00,106.00,65.00,87.00,41.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 15:33:00,,1989.00,767.00,225.00,102.00,64.00,86.00,40.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 16:33:00,,2017.00,781.00,225.00,107.00,64.00,89.00,42.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 17:34:00,,1988.00,765.00,225.00,104.00,65.00,86.00,44.00,27.00,APPROVED
CA: SACRAMENTO,12/14/2008 18:34:00,,2008.00,784.00,223.00,109.00,66.00,85.00,49.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 19:34:00,,2053.00,809.00,237.00,116.00,68.00,89.00,50.00,30.00,APPROVED
CA: SACRAMENTO,12/14/2008 20:34:00,,2074.00,828.00,243.00,120.00,69.00,90.00,51.00,29.00,APPROVED
CA: SACRAMENTO,12/14/2008 21:34:00,,2029.00,798.00,233.00,116.00,68.00,88.00,50.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 22:35:00,,2013.00,797.00,227.00,113.00,68.00,87.00,50.00,28.00,APPROVED
CA: SACRAMENTO,12/14/2008 23:35:00,,2163.00,895.00,260.00,129.00,73.00,98.00,54.00,29.00,APPROVED
CA: SACRAMENTO,12/15/2008 00:35:00,,2103.00,853.00,252.00,122.00,73.00,95.00,51.00,29.00,APPROVED
CA: SACRAMENTO,12/15/2008 01:35:00,,2071.00,819.00,242.00,116.00,67.00,90.00,50.00,28.00,APPROVED
CA: SACRAMENTO,12/15/2008 02:35:00,,2064.00,827.00,238.00,116.00,70.00,90.00,48.00,29.00,APPROVED
CA: SACRAMENTO,12/15/2008 03:36:00,,2101.00,837.00,243.00,117.00,70.00,93.00,51.00,30.00,APPROVED
CA: SACRAMENTO,12/15/2008 04:36:00,,2128.00,854.00,245.00,120.00,70.00,93.00,50.00,29.00,APPROVED
CA: SACRAMENTO,12/15/2008 05:36:00,,2068.00,826.00,241.00,120.00,67.00,93.00,49.00,28.00,APPROVED
CA: SACRAMENTO,12/15/2008 06:36:00,,2040.00,801.00,232.00,113.00,67.00,87.00,48.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 07:36:00,,2011.00,782.00,228.00,111.00,66.00,86.00,45.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 08:36:00,,1902.00,712.00,209.00,102.00,62.00,77.00,44.00,26.00,APPROVED
CA: SACRAMENTO,12/15/2008 09:37:00,,1890.00,698.00,205.00,96.00,59.00,77.00,41.00,28.00,APPROVED
CA: SACRAMENTO,12/15/2008 10:37:00,,1887.00,696.00,199.00,95.00,59.00,76.00,42.00,26.00,APPROVED
CA: SACRAMENTO,12/15/2008 11:37:00,,1911.00,712.00,204.00,99.00,58.00,77.00,42.00,25.00,APPROVED
CA: SACRAMENTO,12/15/2008 12:37:00,,2010.00,786.00,227.00,108.00,65.00,86.00,44.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 13:37:00,,1966.00,750.00,217.00,105.00,63.00,83.00,44.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 14:38:00,,1929.00,736.00,214.00,101.00,62.00,82.00,45.00,28.00,APPROVED
CA: SACRAMENTO,12/15/2008 15:38:00,,1933.00,738.00,217.00,104.00,63.00,83.00,45.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 16:38:00,,2018.00,805.00,234.00,114.00,65.00,89.00,48.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 16:46:00,,2095.00,849.00,251.00,114.00,70.00,94.00,51.00,28.00,APPROVED
CA: SACRAMENTO,12/15/2008 18:05:00,,1992.00,773.00,220.00,109.00,66.00,82.00,47.00,26.00,APPROVED
CA: SACRAMENTO,12/15/2008 19:06:00,,1851.00,702.00,204.00,101.00,62.00,79.00,45.00,25.00,APPROVED
CA: SACRAMENTO,12/15/2008 20:06:00,,1736.00,646.00,188.00,95.00,58.00,68.00,44.00,27.00,APPROVED
CA: SACRAMENTO,12/15/2008 21:06:00,,1684.00,621.00,180.00,92.00,57.00,70.00,45.00,24.00,APPROVED
CA: SACRAMENTO,12/15/2008 22:06:00,,1666.00,610.00,178.00,89.00,54.00,65.00,45.00,25.00,APPROVED
CA: SACRAMENTO,12/15/2008 23:06:00,,1684.00,607.00,178.00,90.00,55.00,66.00,43.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 00:07:00,,1676.00,614.00,176.00,91.00,55.00,66.00,43.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 01:07:00,,1728.00,622.00,179.00,90.00,57.00,66.00,44.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 02:07:00,,1762.00,632.00,180.00,89.00,54.00,66.00,42.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 03:07:00,,1772.00,634.00,177.00,90.00,57.00,66.00,39.00,26.00,APPROVED
CA: SACRAMENTO,12/16/2008 04:07:00,,1791.00,639.00,182.00,89.00,56.00,68.00,40.00,23.00,APPROVED
CA: SACRAMENTO,12/16/2008 05:08:00,,1798.00,636.00,182.00,89.00,54.00,68.00,39.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 06:08:00,,1819.00,647.00,183.00,88.00,57.00,72.00,38.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 07:08:00,,1831.00,655.00,186.00,90.00,56.00,70.00,39.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 08:08:00,,1854.00,668.00,193.00,91.00,57.00,74.00,39.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 09:08:00,,1854.00,671.00,190.00,91.00,58.00,78.00,36.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 10:09:00,,1887.00,679.00,194.00,92.00,59.00,77.00,39.00,27.00,APPROVED
CA: SACRAMENTO,12/16/2008 11:09:00,,1878.00,683.00,195.00,97.00,58.00,76.00,38.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 12:09:00,,1915.00,706.00,198.00,99.00,61.00,78.00,39.00,26.00,APPROVED
CA: SACRAMENTO,12/16/2008 13:09:00,,1925.00,718.00,205.00,97.00,61.00,80.00,40.00,25.00,APPROVED
CA: SACRAMENTO,12/16/2008 14:09:00,,1934.00,733.00,210.00,100.00,62.00,84.00,43.00,28.00,APPROVED
